date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday,gfc_2008_shock,gfc_2008_regime,opec_2014_shock,opec_2014_regime,covid_2020_shock,covid_2020_regime,war_2022_shock,war_2022_regime,gfc_2008_window,opec_2014_window,covid_2020_window,war_2022_window,cond_vix_gt_30,cond_termspread_inv,cond_inventory_draw,cond_opec_cut
2010-08-20,-0.7400000000000091,1.01936098,217.199,94.2087,25.49,91.9928,11330.6,333572.0,32449.4625155,5352.0,2.13,2.62,0.18,-0.9399999999999976,-0.2900000000000062,0.6450348827776469,1.198307029455342,74.84400000000001,78.23049999999999,0.9567112571183876,0,-1.9399999999999975,-5.230000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-23,-1.4699999999999989,1.01936098,217.199,94.3295,25.66,91.9928,11330.6,333572.0,32449.4625155,5352.0,2.11,2.6,0.18,-1.0,-0.2199999999999988,0.653046705833491,1.1965120361415342,74.352,77.9195,0.954215568631729,0,-2.460000000000008,-6.220000000000013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-24,0.8299999999999983,1.01936098,217.199,94.4362,27.46,91.9928,11330.6,333572.0,32449.4625155,5352.0,2.0,2.5,0.18,-0.7400000000000091,0.5900000000000034,0.4009114615472744,1.1965120361415336,73.44800000000001,77.6085,0.9463911813783284,0,-4.52000000000001,-6.219999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-25,1.2900000000000065,1.01936098,217.199,94.7372,26.7,91.9928,11330.6,333572.0,32449.4625155,5352.0,2.01,2.54,0.18,-1.4699999999999989,-0.3700000000000045,0.8770005701252258,1.223013857131971,72.784,77.35900000000001,0.940860145555139,0,-3.3200000000000074,-4.990000000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-26,1.8100000000000025,1.01936098,217.199,94.3523,27.37,91.9928,11330.6,333572.0,32449.4625155,5352.0,1.99,2.5,0.18,0.8299999999999983,-0.9399999999999976,1.2066358191268711,1.2262656190324484,72.566,77.112,0.9410467890860048,0,-1.0900000000000034,-4.939999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-27,-0.480000000000004,1.01936098,217.199,94.3462,24.45,91.9928,11330.6,337680.0,32449.4625155,5511.0,2.1,2.66,0.18,1.2900000000000065,-1.0,1.391574647656379,1.2995440495966604,72.91,76.928,0.9477693427620631,0,1.7199999999999989,-3.6799999999999926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-30,-2.759999999999991,1.01936098,217.199,94.5922,27.21,91.9928,11330.6,337680.0,32449.4625155,5511.0,2.04,2.54,0.18,1.8100000000000025,-0.7400000000000091,1.34502044594124,1.1489885712408483,73.306,76.6,0.9569973890339426,0,1.980000000000004,-6.560000000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-31,2.039999999999992,1.01936098,217.199,94.7204,26.05,91.9928,11330.6,337680.0,32449.4625155,5511.0,2.0,2.47,0.18,-0.480000000000004,-1.4699999999999989,1.8290626014436908,1.2059565978050175,73.44399999999999,76.07050000000001,0.9654728179780596,0,0.6900000000000119,-10.58999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,1.019999999999996,0.84675907,217.605,94.1148,23.89,92.3421,11361.7,337680.0,32327.2055155,5511.0,2.08,2.58,0.18,-2.759999999999991,0.8299999999999983,2.014187180973991,1.333197186031415,73.824,75.64450000000001,0.975933478309725,0,1.9000000000000057,-8.519999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-02,-0.4699999999999988,0.84675907,217.605,94.0852,23.19,92.3421,11361.7,337680.0,32327.2055155,5511.0,2.13,2.63,0.18,2.039999999999992,1.2900000000000065,1.9871285816473852,1.3715856171829504,74.15,75.29400000000001,0.9848062262597284,0,1.6299999999999957,-7.010000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-03,-0.539999999999992,0.84675907,217.605,93.6952,21.31,92.3421,11361.7,341105.0,32327.2055155,5602.0,2.2,2.72,0.18,1.019999999999996,1.8100000000000025,1.815654152089529,1.352611022780513,74.02000000000001,74.9865,0.9871110133157304,0,-0.6500000000000057,-6.150000000000006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-07,0.6700000000000017,0.84675907,217.605,94.042,23.8,92.3421,11361.7,341105.0,32327.2055155,5602.0,2.12,2.61,0.18,-0.4699999999999988,-0.480000000000004,1.8187413230033411,1.328288966658741,73.878,74.6125,0.9901558049924613,0,-0.7099999999999937,-7.47999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-08,-0.4000000000000057,0.84675907,217.605,93.7785,23.25,92.3421,11361.7,341105.0,32327.2055155,5602.0,2.14,2.66,0.18,-0.539999999999992,-2.759999999999991,1.0820951898977993,1.332158813829318,74.422,74.333,1.001197314786165,1,2.719999999999999,-5.589999999999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-09,2.1500000000000057,0.84675907,217.605,93.7033,22.81,92.3421,11361.7,341105.0,32327.2055155,5602.0,2.2,2.77,0.18,0.6700000000000017,2.039999999999992,0.7324820816920817,1.2582552665454865,74.478,74.14099999999999,1.00454539323721,1,0.2800000000000011,-3.8400000000000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-10,0.769999999999996,0.84675907,217.605,93.6768,21.99,92.3421,11361.7,339337.0,32327.2055155,5603.0,2.23,2.81,0.18,-0.4000000000000057,1.019999999999996,1.1561012066423817,1.2482973667317638,74.75999999999999,74.17699999999999,1.00785957911482,1,1.4100000000000108,0.7199999999999989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-13,-0.3900000000000005,0.84675907,217.605,93.0767,21.21,92.3421,11361.7,339337.0,32327.2055155,5603.0,2.21,2.74,0.18,2.1500000000000057,-0.4699999999999988,1.0852879802153752,1.2562052296290402,75.28999999999999,74.26599999999999,1.0137882745805618,1,2.6500000000000057,1.7800000000000011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-14,-0.8599999999999994,0.84675907,217.605,92.6182,21.56,92.3421,11361.7,339337.0,32327.2055155,5603.0,2.18,2.68,0.18,0.769999999999996,-0.539999999999992,1.0498095065296242,1.258978177980683,75.85000000000001,74.3465,1.0202228753202909,1,2.799999999999997,1.6099999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-15,-1.3400000000000034,0.84675907,217.605,92.9313,22.1,92.3421,11361.7,339337.0,32327.2055155,5603.0,2.24,2.74,0.18,-0.3900000000000005,0.6700000000000017,1.219069317143194,1.2697973315288844,76.104,74.3545,1.0235291744279096,1,1.269999999999996,0.1599999999999966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-16,-0.9500000000000028,0.84675907,217.605,92.9108,21.72,92.3421,11361.7,339337.0,32327.2055155,5603.0,2.29,2.77,0.18,-0.8599999999999994,-0.4000000000000057,1.4036488164779588,1.303083286912836,76.17,74.31400000000001,1.024975105632855,1,0.3299999999999983,-0.8100000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-17,1.1800000000000068,0.84675907,217.605,92.9418,22.01,92.3421,11361.7,336848.0,32327.2055155,5573.0,2.27,2.75,0.18,-1.3400000000000034,2.1500000000000057,0.8136522598751692,1.3034484626316547,75.61600000000001,74.273,1.0180819409475854,1,-2.7700000000000102,-0.8200000000000074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-20,-1.8500000000000083,0.84675907,217.605,92.7496,21.5,92.3421,11361.7,336848.0,32327.2055155,5573.0,2.25,2.72,0.18,-0.9500000000000028,0.769999999999996,0.9833971730689376,1.3101651161509875,75.144,74.341,1.010801576519014,1,-2.359999999999999,1.3599999999999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-21,0.0200000000000102,0.84675907,217.605,92.6684,22.35,92.3421,11361.7,336848.0,32327.2055155,5573.0,2.18,2.61,0.18,1.1800000000000068,-0.3900000000000005,1.1547856944039374,1.368410045502284,74.38,74.3535,1.0003564055491672,1,-3.8200000000000074,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-22,0.4200000000000017,0.84675907,217.605,92.0647,22.51,92.3421,11361.7,336848.0,32327.2055155,5573.0,2.12,2.56,0.18,-1.8500000000000083,-0.8599999999999994,1.2025680853905891,1.3232658960235208,73.792,74.4405,0.9912883443824264,0,-2.9399999999999977,1.740000000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-23,1.2299999999999898,0.84675907,217.605,92.0233,23.87,92.3421,11361.7,336848.0,32327.2055155,5573.0,2.11,2.56,0.18,0.0200000000000102,-1.3400000000000034,1.184875520888158,1.3142949881169974,73.556,74.507,0.987236098621606,0,-1.1799999999999926,1.3300000000000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-24,1.8800000000000097,0.84675907,217.605,91.5996,21.71,92.3421,11361.7,337818.0,32327.2055155,5556.0,2.17,2.62,0.18,0.4200000000000017,-0.9500000000000028,1.2554481271641509,1.3114205837062356,73.756,74.57050000000001,0.9890774501981344,0,1.0,1.269999999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-27,-0.3599999999999994,0.84675907,217.605,91.4803,22.54,92.3421,11361.7,337818.0,32327.2055155,5556.0,2.1,2.54,0.18,1.2299999999999898,1.1800000000000068,1.4202640599550411,1.3164109900547116,74.096,74.6375,0.9927449338469267,0,1.7000000000000028,1.3400000000000034,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-28,1.6999999999999886,0.84675907,217.605,91.3493,22.6,92.3421,11361.7,337818.0,32327.2055155,5556.0,2.11,2.48,0.18,1.8800000000000097,-1.8500000000000083,0.9108347819445436,1.3140579975985136,74.73400000000001,74.7105,1.000314547486632,1,3.190000000000012,1.460000000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-29,2.1000000000000085,0.84675907,217.605,91.1632,23.25,92.3421,11361.7,337818.0,32327.2055155,5556.0,2.08,2.52,0.18,-0.3599999999999994,0.0200000000000102,0.9354036561826996,1.1795378220659969,75.708,75.00649999999999,1.0093525227813591,1,4.86999999999999,5.9199999999999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-30,1.6199999999999903,0.84675907,217.605,91.3415,23.7,92.3421,11361.7,337818.0,32327.2055155,5556.0,2.11,2.53,0.18,1.6999999999999886,0.4200000000000017,0.9869650449737144,1.1842737059169657,77.018,75.3055,1.0227407028703084,1,6.549999999999997,5.980000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,-0.1399999999999863,0.65616389,217.923,90.836,22.5,92.6805,11389.2,337343.0,32363.7965155,5562.0,2.12,2.54,0.19,2.1000000000000085,1.2299999999999898,0.9944445685909116,1.2108018221953445,78.406,75.63449999999999,1.036643330755145,1,6.939999999999998,6.579999999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-04,1.3999999999999917,0.65616389,217.923,91.0015,23.53,92.6805,11389.2,337343.0,32363.7965155,5562.0,2.09,2.5,0.19,1.6199999999999903,1.8800000000000097,1.1437132507757148,1.2015537090739892,79.39,75.97999999999999,1.0448802316399053,1,4.920000000000002,6.910000000000011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-05,0.3799999999999954,0.65616389,217.923,90.5622,21.76,92.6805,11389.2,337343.0,32363.7965155,5562.0,2.09,2.5,0.19,-0.1399999999999863,-0.3599999999999994,0.8630643081485595,1.2046090215239251,80.726,76.42249999999999,1.056311950014721,1,6.679999999999993,8.849999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-06,-1.8699999999999903,0.65616389,217.923,90.1411,21.49,92.6805,11389.2,337343.0,32363.7965155,5562.0,2.03,2.41,0.19,1.3999999999999917,1.6999999999999886,0.9236449534317592,1.2034712950023874,81.79799999999999,76.8505,1.064378240870261,1,5.359999999999999,8.559999999999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-07,1.3199999999999932,0.65616389,217.923,90.286,21.56,92.6805,11389.2,337343.0,32363.7965155,5562.0,2.05,2.41,0.19,0.3799999999999954,2.1000000000000085,1.4016847006370377,1.2978868452826997,82.076,77.20500000000001,1.063091768667832,1,1.3900000000000006,7.090000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-08,-0.4799999999999897,0.65616389,217.923,90.1133,20.71,92.6805,11389.2,340186.0,32363.7965155,5514.0,2.06,2.41,0.19,-1.8699999999999903,1.6199999999999903,1.334698467819584,1.249834094253264,82.294,77.518,1.0616114966846408,1,1.0900000000000034,6.259999999999991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-11,-0.5100000000000051,0.65616389,217.923,90.1133,18.96,92.6805,11389.2,340186.0,32363.7965155,5514.0,2.06,2.41,0.19,1.3199999999999932,-0.1399999999999863,1.365796470928207,1.2570118075064003,82.44399999999999,77.7685,1.0601207429743402,1,0.75,5.010000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-12,1.3599999999999994,0.65616389,217.923,90.2203,18.93,92.6805,11389.2,340186.0,32363.7965155,5514.0,2.07,2.44,0.19,-0.4799999999999897,1.3999999999999917,1.1837525079170703,1.260511487661377,82.212,78.013,1.0538243626062322,1,-1.1599999999999966,4.890000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-13,-0.3200000000000074,0.65616389,217.923,89.7779,19.07,92.6805,11389.2,340186.0,32363.7965155,5514.0,2.09,2.46,0.19,-0.5100000000000051,0.3799999999999954,1.3759469466516336,1.2558682255714495,82.176,78.36850000000001,1.0485845716072144,1,-0.1799999999999926,7.109999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-14,-1.4799999999999898,0.65616389,217.923,89.5228,19.88,92.6805,11389.2,340186.0,32363.7965155,5514.0,2.14,2.52,0.19,1.3599999999999994,-1.8699999999999903,0.975899584998356,1.2029887123764895,82.45,78.775,1.046651856553475,1,1.3699999999999903,8.129999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-15,1.8299999999999983,0.65616389,217.923,89.6815,19.03,92.6805,11389.2,339770.0,32363.7965155,5528.0,2.22,2.59,0.19,-0.3200000000000074,1.3199999999999932,1.0276088750103136,1.239719832525831,82.16400000000002,79.155,1.0380140231191968,1,-1.4299999999999926,7.600000000000008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
