date,OilPrice,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate,oil_diff_target,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2013-01-14,0.6700000000000017,0.08743519000000001,-0.38900000000001,-0.041700000000005844,0.16000000000000014,0.35839999999998895,51.100000000000364,892.0,-31.0,17.0,0.0,0.0,-1.009999999999991,-0.21000000000000796,0.0799999999999983,0.4510875746459419,0.8375679076946396,93.594,91.017,1.0283133920036915,1,1.0699999999999932,8.879999999999995,0,0,1,0
2013-01-15,-1.009999999999991,0.08743519000000001,-0.38900000000001,0.02559999999999718,0.030000000000001137,0.35839999999998895,51.100000000000364,892.0,-31.0,17.0,-0.029999999999999805,0.0,1.019999999999996,0.6700000000000017,0.009999999999990905,0.7180529228406173,0.8890746224083229,93.604,91.364,1.0245173153539686,1,0.05000000000001137,6.940000000000012,0,0,0,0
2013-01-16,1.019999999999996,0.08743519000000001,-0.38900000000001,0.07690000000000907,-0.13000000000000078,0.35839999999998895,51.100000000000364,892.0,-31.0,17.0,-0.020000000000000018,0.0,1.2099999999999937,-1.009999999999991,-0.12999999999999545,0.8364209466530299,0.901748447826704,93.844,91.74249999999999,1.022906504618906,1,1.2000000000000028,7.570000000000007,0,0,0,0
2013-01-17,1.2099999999999937,0.08743519000000001,-0.38900000000001,-0.055900000000008276,0.15000000000000036,0.35839999999998895,51.100000000000364,892.0,-31.0,17.0,0.04999999999999982,0.0,0.12000000000000455,1.019999999999996,0.730000000000004,0.9291286240343405,0.9174522789826733,94.17999999999999,92.14399999999999,1.0220958499739539,1,1.6799999999999926,8.030000000000001,0,0,0,0
2013-01-18,0.12000000000000455,0.08743519000000001,-0.38900000000001,0.3295999999999992,-1.1099999999999994,0.35839999999998895,51.100000000000364,-951.0,-31.0,39.0,-0.019999999999999796,0.0,0.480000000000004,1.2099999999999937,-0.21000000000000796,0.891610901682984,0.8720417662619357,94.582,92.47,1.0228398399480911,1,2.010000000000005,6.519999999999996,0,0,0,1
2013-01-22,0.480000000000004,0.08743519000000001,-0.38900000000001,-0.08050000000000068,-0.030000000000001137,0.35839999999998895,51.100000000000364,-951.0,-31.0,39.0,-0.010000000000000009,0.0,-1.0300000000000011,0.12000000000000455,0.6700000000000017,0.8813228693276624,0.869127057515319,94.946,92.7865,1.0232738598826336,1,1.8200000000000074,6.329999999999998,0,0,0,0
2013-01-23,-1.0300000000000011,0.08743519000000001,-0.38900000000001,0.04840000000000089,0.030000000000001137,0.35839999999998895,51.100000000000364,-951.0,-31.0,39.0,0.0,0.0,0.28999999999999204,0.480000000000004,-1.009999999999991,0.8891287870719016,0.8153145986285388,95.30600000000001,93.1295,1.0233706827589542,1,1.7999999999999972,6.859999999999999,0,0,0,0
2013-01-24,0.28999999999999204,0.08743519000000001,-0.38900000000001,0.073599999999999,0.22999999999999865,0.35839999999998895,51.100000000000364,-951.0,-31.0,39.0,0.019999999999999796,0.0,-0.19999999999998863,-1.0300000000000011,1.019999999999996,0.8100802429389031,0.8132721432259571,95.52000000000001,93.4825,1.0217955232262723,1,1.0699999999999932,7.059999999999988,0,0,0,0
2013-01-25,-0.19999999999998863,0.08743519000000001,-0.38900000000001,0.17560000000000286,0.20000000000000107,0.35839999999998895,51.100000000000364,2813.0,-31.0,-52.0,0.10000000000000009,0.0,0.7999999999999972,0.28999999999999204,1.2099999999999937,0.5930177063123456,0.6592228279133551,95.452,93.7045,1.0186490510060884,1,-0.3399999999999892,4.440000000000012,0,0,0,1
2013-01-28,0.7999999999999972,0.08743519000000001,-0.38900000000001,0.14860000000000184,0.6799999999999997,0.35839999999998895,51.100000000000364,2813.0,-31.0,-52.0,0.020000000000000018,0.0,1.6700000000000017,-0.19999999999998863,0.12000000000000455,0.7127902917408129,0.6717032552830677,95.52,93.95649999999999,1.0166406794633687,1,0.3400000000000034,5.040000000000006,0,0,1,0
2013-01-29,1.6700000000000017,0.08743519000000001,-0.38900000000001,-0.29479999999999507,-0.2599999999999998,0.35839999999998895,51.100000000000364,2813.0,-31.0,-52.0,0.029999999999999805,0.0,0.35999999999999943,0.7999999999999972,0.480000000000004,1.0180520615371067,0.7307861664348929,95.826,94.3045,1.016133906653447,1,1.5300000000000011,6.960000000000008,0,0,0,0
2013-01-30,0.35999999999999943,0.08743519000000001,-0.38900000000001,-0.05700000000000216,1.0099999999999998,0.35839999999998895,51.100000000000364,2813.0,-31.0,-52.0,0.0,0.0,-0.3299999999999983,1.6700000000000017,-1.0300000000000011,0.7030860544769404,0.7048170721989737,96.41,94.612,1.0190039318479687,1,2.9200000000000017,6.150000000000006,0,0,0,0
2013-01-31,-0.3299999999999983,0.08743519000000001,-0.38900000000001,-0.08559999999999945,-0.040000000000000924,0.35839999999998895,51.100000000000364,2813.0,-31.0,-52.0,-0.009999999999999787,0.0,-0.19000000000001194,0.35999999999999943,0.28999999999999204,0.8138488803211259,0.6768928625479784,96.87,94.8375,1.02143139580862,1,2.3000000000000114,4.510000000000005,0,0,0,0
